
Movie,Language,Genre
KGF Chapter 1,Kannada,Action Drama Crime
KGF Chapter 2,Kannada,Action Drama Crime
Kantara,Kannada,Action Thriller Mystery
Charlie 777,Kannada,Adventure Comedy Drama
Vikrant Rona,Kannada,Action Mystery Thriller
Yuvarathnaa,Kannada,Action Drama
Roberrt,Kannada,Action Crime Drama
Avane Srimannarayana,Kannada,Adventure Fantasy Comedy
Ugramm,Kannada,Action Crime Thriller
Mufti,Kannada,Action Crime Drama
James,Kannada,Action Thriller
Googly,Kannada,Romance Comedy Drama
Love Mocktail,Kannada,Romance Drama
Bell Bottom,Kannada,Crime Thriller Comedy
Kirik Party,Kannada,Comedy Drama Romance
Tagaru,Kannada,Action Crime Thriller
RangiTaranga,Kannada,Mystery Thriller
Sapta Sagaradaache Ello Side A,Kannada,Romance Drama
Sapta Sagaradaache Ello Side B,Kannada,Romance Drama
Garuda Gamana Vrishabha Vahana,Kannada,Crime Drama Thriller

RRR,Telugu,Action Drama Historical
Baahubali: The Beginning,Telugu,Action Adventure Fantasy
Baahubali 2: The Conclusion,Telugu,Action Adventure Drama
Salaar,Telugu,Action Thriller Crime
Pushpa: The Rise,Telugu,Action Crime Drama
Pushpa 2: The Rule,Telugu,Action Crime Drama
Ala Vaikunthapurramuloo,Telugu,Action Comedy Drama
Sarileru Neekevvaru,Telugu,Action Comedy
Eega,Telugu,Fantasy Action Drama
Hi Nanna,Telugu,Romance Drama
Jersey,Telugu,Sports Drama
Rangasthalam,Telugu,Action Drama
Agent Sai Srinivasa Athreya,Telugu,Comedy Mystery Thriller
Mahanati,Telugu,Biography Drama
Arjun Reddy,Telugu,Romance Drama
Sita Ramam,Telugu,Romance Drama War
DJ Tillu,Telugu,Comedy Crime
Hanu-Man,Telugu,Fantasy Action Adventure
Lucky Baskhar,Telugu,Crime Drama Thriller
Mathu Vadalara,Telugu,Comedy Crime Thriller

Vikram,Tamil,Action Thriller Crime
Leo,Tamil,Action Thriller Drama
Master,Tamil,Action Drama Thriller
Jailer,Tamil,Action Comedy Drama
Kaithi,Tamil,Action Thriller Crime
Ponniyin Selvan 1,Tamil,Historical Drama Adventure
Ponniyin Selvan 2,Tamil,Historical Drama Adventure
Doctor,Tamil,Action Comedy Thriller
Mersal,Tamil,Action Drama Thriller
Thunivu,Tamil,Action Crime Thriller
Asuran,Tamil,Action Drama
96,Tamil,Romance Drama
Soorarai Pottru,Tamil,Biography Drama
Jai Bhim,Tamil,Crime Drama
Visaranai,Tamil,Crime Thriller Drama
Love Today,Tamil,Comedy Romance Drama
Mark Antony,Tamil,Action Comedy Fantasy
Good Night,Tamil,Comedy Drama
Theeran Adhigaaram Ondru,Tamil,Action Crime Thriller
Mahaan,Tamil,Action Drama Thriller

Drishyam,Malayalam,Crime Thriller Mystery
Drishyam 2,Malayalam,Crime Thriller Drama
Premam,Malayalam,Romance Comedy Drama
2018,Malayalam,Survival Drama Thriller
Manjummel Boys,Malayalam,Adventure Thriller Drama
Aavesham,Malayalam,Action Comedy Drama
Bangalore Days,Malayalam,Comedy Drama Romance
Lucifer,Malayalam,Action Crime Thriller
Minnal Murali,Malayalam,Superhero Action Comedy
Kannur Squad,Malayalam,Crime Thriller
RDX,Malayalam,Action Thriller
Neru,Malayalam,Courtroom Drama Thriller
Ayyappanum Koshiyum,Malayalam,Action Drama Thriller
Hridayam,Malayalam,Romance Drama
Uyare,Malayalam,Drama Inspirational
Kumbalangi Nights,Malayalam,Drama Family
Android Kunjappan Version 5.25,Malayalam,Comedy Drama Sci-Fi
Thallumaala,Malayalam,Action Comedy
Joseph,Malayalam,Crime Thriller Mystery
Romancham,Malayalam,Horror Comedy

3 Idiots,Hindi,Comedy Drama
Dangal,Hindi,Sports Drama Biography
PK,Hindi,Comedy Drama Fantasy
Zindagi Na Milegi Dobara,Hindi,Adventure Comedy Drama
Andhadhun,Hindi,Crime Thriller Mystery
Chhichhore,Hindi,Comedy Drama
Queen,Hindi,Comedy Drama
Bajrangi Bhaijaan,Hindi,Drama Adventure
Animal,Hindi,Action Crime Drama
Drishyam 2,Hindi,Crime Thriller Mystery
12th Fail,Hindi,Biography Drama
Article 370,Hindi,Political Thriller Drama
Stree,Hindi,Horror Comedy
Stree 2,Hindi,Horror Comedy
Shershaah,Hindi,Biography War Drama
Bhool Bhulaiyaa 2,Hindi,Horror Comedy
Laapataa Ladies,Hindi,Comedy Drama
Gangubai Kathiawadi,Hindi,Biography Crime Drama
Munna Bhai M.B.B.S.,Hindi,Comedy Drama
Barfi!,Hindi,Romance Comedy Drama
